id,name,category,address,pincode,latitude,longitude,phone,maps_url
esi_reg_esicmedicalc,"ESIC Medical College & Super Speciality Hospital, Sanathnagar",Tier 1: ESIC Medical College / PGIMSR,"Sanathnagar, Hyderabad, Telangana",500038,17.4568,78.4439,040-23702433,"https://www.google.com/maps/search/?api=1&query=17.4568,78.4439"
esi_reg_esichospital,"ESIC Hospital, Nacharam",Tier 2: ESI / ESIS Secondary Hospital,"Nacharam Industrial Area, Hyderabad, Telangana",500076,17.4265,78.5612,040-27152643,"https://www.google.com/maps/search/?api=1&query=17.4265,78.5612"
esi_reg_esishospital,"ESIS Hospital, Sanathnagar",Tier 2: ESI / ESIS Secondary Hospital,"Sanathnagar Main Rd, Hyderabad, Telangana",500018,17.458,78.445,040-23701041,"https://www.google.com/maps/search/?api=1&query=17.458,78.445"
esi_reg_esishospital,"ESIS Hospital, Sirpur Kaghaznagar",Tier 2: ESI / ESIS Secondary Hospital,"Kaghaznagar, Komaram Bheem Asifabad, Telangana",504296,19.3315,79.482,,"https://www.google.com/maps/search/?api=1&query=19.3315,79.482"
esi_reg_esishospital,"ESIS Hospital, Warangal",Tier 2: ESI / ESIS Secondary Hospital,"Deshaipet Road, Warangal, Telangana",506006,17.9812,79.6105,,"https://www.google.com/maps/search/?api=1&query=17.9812,79.6105"
esi_reg_esidispensar,"ESI Dispensary, Balanagar",Tier 3: ESI / ESIS Dispensary,"Balanagar Main Rd, Hyderabad, Telangana",500037,17.4721,78.441,,"https://www.google.com/maps/search/?api=1&query=17.4721,78.441"
esi_reg_esidispensar,"ESI Dispensary, Charminar",Tier 3: ESI / ESIS Dispensary,"Moghalpura, Charminar, Hyderabad, Telangana",500002,17.359,78.4735,,"https://www.google.com/maps/search/?api=1&query=17.359,78.4735"
esi_reg_esidispensar,"ESI Dispensary, Jeedimetla",Tier 3: ESI / ESIS Dispensary,"Phase 1, IDA Jeedimetla, Hyderabad, Telangana",500055,17.5142,78.4611,,"https://www.google.com/maps/search/?api=1&query=17.5142,78.4611"
esi_reg_esidispensar,"ESI Dispensary, Kukatpally",Tier 3: ESI / ESIS Dispensary,"Prashanthi Nagar, Kukatpally, Hyderabad, Telangana",500072,17.493,78.406,,"https://www.google.com/maps/search/?api=1&query=17.493,78.406"
esi_reg_esidispensar,"ESI Dispensary, Moula Ali",Tier 3: ESI / ESIS Dispensary,"Moula Ali Industrial Area, Hyderabad, Telangana",500040,17.469,78.568,,"https://www.google.com/maps/search/?api=1&query=17.469,78.568"
